"","state","date","site","dailycases"
"564","Norway",2020-09-28,"Møre og Romsdal",0
"565","Norway",2020-09-29,"Møre og Romsdal",1
"566","Norway",2020-09-30,"Møre og Romsdal",7
"567","Norway",2020-10-01,"Møre og Romsdal",2
"568","Norway",2020-03-26,"Nordland",29
"569","Norway",2020-03-27,"Nordland",7
"570","Norway",2020-03-28,"Nordland",6
"571","Norway",2020-03-29,"Nordland",4
"572","Norway",2020-03-30,"Nordland",2
"573","Norway",2020-03-31,"Nordland",4
"574","Norway",2020-04-01,"Nordland",10
"575","Norway",2020-04-02,"Nordland",6
"576","Norway",2020-04-03,"Nordland",3
"577","Norway",2020-04-04,"Nordland",3
"578","Norway",2020-04-05,"Nordland",1
"579","Norway",2020-04-06,"Nordland",1
"580","Norway",2020-04-07,"Nordland",1
"581","Norway",2020-04-08,"Nordland",7
"582","Norway",2020-04-09,"Nordland",2
"583","Norway",2020-04-10,"Nordland",1
"584","Norway",2020-04-11,"Nordland",3
"585","Norway",2020-04-12,"Nordland",1
"586","Norway",2020-04-13,"Nordland",4
"587","Norway",2020-04-14,"Nordland",0
"588","Norway",2020-04-15,"Nordland",2
